PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 142860_0,HD 142860,0.48,0.049,1.366,4.001,11.254,1.25,3.039,,,0.483001,0.037638,0,0,1,2035.0
HD 142860_1,HD 142860,2.597,0.097,0.548,0.236,11.254,1.25,3.039,,,2.760133,0.037572,0,0,1,2035.0
HD 142860_2,HD 142860,0.317,0.102,0.781,0.794,11.254,1.25,3.039,,,0.338867,0.325106,0,0,1,2035.0
HD 142860_3,HD 142860,1.072,0.031,0.533,0.11,11.254,1.25,3.039,,,1.038794,0.274588,0,0,1,2035.0
HD 142860_4,HD 142860,2.607,0.152,1.567,3.652,11.254,1.25,3.039,,,2.342287,0.155811,0,0,1,2035.0
HD 142860_5,HD 142860,2.975,0.11,1.356,3.018,11.254,1.25,3.039,,,2.653675,0.050662,0,0,1,2035.0
HD 142860_6,HD 142860,0.215,0.135,0.88,0.367,11.254,1.25,3.039,,,0.190512,0.321502,0,0,1,2035.0
HD 142860_7,HD 142860,3.647,0.067,0.632,0.176,11.254,1.25,3.039,,,3.770522,0.484896,0,0,1,2035.0
HD 142860_8,HD 142860,2.682,0.047,3.085,12.718,11.254,1.25,3.039,0.226054,131.138756,2.694928,0.507301,1,1,1,2035.0
HD 142860_9,HD 142860,0.778,0.019,1.399,2.087,11.254,1.25,3.039,0.06545,227.334006,0.791662,0.569104,1,1,1,2035.0
HD 142860_10,HD 142860,2.963,0.113,1.692,4.782,11.254,1.25,3.039,0.189907,328.381211,3.117131,0.755664,1,1,1,2035.0
HD 142860_11,HD 142860,2.712,0.164,1.262,2.131,11.254,1.25,3.039,,,3.026926,0.047055,0,0,1,2035.0
HD 142860_12,HD 142860,1.918,0.08,2.207,16.377,11.254,1.25,3.039,,,1.780409,0.972189,0,0,1,2035.0
HD 142860_13,HD 142860,1.691,0.066,2.686,3.266,11.254,1.25,3.039,,,1.784686,0.05792,0,0,1,2035.0
HD 142860_14,HD 142860,2.756,0.088,0.955,0.545,11.254,1.25,3.039,,,2.792962,0.360931,0,0,1,2035.0
HD 142860_15,HD 142860,4.992,0.026,1.73,4.963,11.254,1.25,3.039,,,5.053518,0.12962,0,0,1,2035.0
HD 142860_16,HD 142860,1.796,0.042,0.727,0.333,11.254,1.25,3.039,0.061932,32.792589,1.759189,0.926139,1,1,1,2035.0
HD 142860_17,HD 142860,3.301,0.077,1.601,4.068,11.254,1.25,3.039,0.210277,315.004444,3.45173,0.771055,1,1,1,2035.0
HD 142860_18,HD 142860,2.823,0.071,0.984,1.264,11.254,1.25,3.039,,,3.021012,0.256442,0,0,1,2035.0
HD 142860_19,HD 142860,3.679,0.142,0.501,0.062,11.254,1.25,3.039,,,3.817497,0.685086,0,0,1,2035.0
HD 142860_20,HD 142860,4.555,0.073,3.069,9.918,11.254,1.25,3.039,,,4.871064,0.039535,0,0,1,2035.0
HD 142860_21,HD 142860,0.39,0.053,2.525,7.607,11.254,1.25,3.039,,,0.410639,0.150261,0,0,1,2035.0
HD 142860_22,HD 142860,0.335,0.059,0.809,0.423,11.254,1.25,3.039,,,0.330257,0.035569,0,0,1,2035.0
HD 142860_23,HD 142860,1.838,0.084,3.382,24.994,11.254,1.25,3.039,0.071183,341.540042,1.690557,0.900863,1,1,1,2035.0
HD 142860_24,HD 142860,1.182,0.032,0.848,0.734,11.254,1.25,3.039,0.084042,195.518958,1.156851,0.662522,1,1,1,2035.0
HD 142860_25,HD 142860,1.754,0.052,1.1,1.82,11.254,1.25,3.039,,,1.688361,0.424415,0,0,1,2035.0
HD 142860_26,HD 142860,3.219,0.048,2.432,10.042,11.254,1.25,3.039,,,3.268911,0.510279,0,0,1,2035.0
HD 142860_27,HD 142860,4.342,0.138,0.83,0.531,11.254,1.25,3.039,,,4.620574,0.864016,0,0,1,2035.0
HD 142860_28,HD 142860,1.055,0.053,1.083,3.056,11.254,1.25,3.039,0.062846,99.345804,1.09585,0.808017,1,1,1,2035.0
HD 142860_29,HD 142860,2.641,0.047,1.646,5.528,11.254,1.25,3.039,,,2.713948,0.000827,0,0,1,2035.0
HD 142860_30,HD 142860,0.398,0.035,0.614,0.175,11.254,1.25,3.039,,,0.384076,0.125508,0,0,1,2035.0
HD 142860_31,HD 142860,1.57,0.065,1.027,2.044,11.254,1.25,3.039,0.12796,184.292302,1.468665,0.444514,1,1,1,2035.0
HD 142860_32,HD 142860,0.124,0.016,0.837,0.403,11.254,1.25,3.039,,,0.125499,0.445388,0,0,1,2035.0
HD 142860_33,HD 142860,1.422,0.085,1.683,6.106,11.254,1.25,3.039,0.137555,179.526758,1.523809,0.277287,1,1,1,2035.0
HD 142860_34,HD 142860,1.623,0.09,0.62,0.114,11.254,1.25,3.039,,,1.764434,0.017397,0,0,1,2035.0
HD 30652_0,HD 30652,0.426,0.078,2.18,3.667,8.068,1.25,2.71,,,0.393275,0.127214,0,0,1,2035.00137
HD 30652_1,HD 30652,2.464,0.072,0.677,0.23,8.068,1.25,2.71,,,2.581513,0.713612,0,0,1,2035.00137
HD 30652_2,HD 30652,0.283,0.07,3.325,18.015,8.068,1.25,2.71,,,0.295755,0.517363,0,0,1,2035.00137
HD 30652_3,HD 30652,3.549,0.04,0.522,0.094,8.068,1.25,2.71,,,3.685777,0.143153,0,0,1,2035.00137
HD 30652_4,HD 30652,2.898,0.098,1.317,2.002,8.068,1.25,2.71,,,2.684577,0.097167,0,0,1,2035.00137
HD 30652_5,HD 30652,0.672,0.059,0.654,0.19,8.068,1.25,2.71,0.066422,47.231862,0.64751,0.643458,1,1,1,2035.00137
HD 30652_6,HD 30652,1.399,0.028,1.0,1.455,8.068,1.25,2.71,0.172453,110.755735,1.362041,0.328531,1,1,1,2035.00137
HD 30652_7,HD 30652,3.227,0.133,0.632,0.197,8.068,1.25,2.71,,,3.656087,0.152608,0,0,1,2035.00137
HD 30652_8,HD 30652,4.372,0.036,0.684,0.309,8.068,1.25,2.71,,,4.526212,0.184142,0,0,1,2035.00137
HD 30652_9,HD 30652,0.82,0.179,0.547,0.079,8.068,1.25,2.71,,,0.861782,0.227235,0,0,1,2035.00137
HD 30652_10,HD 30652,3.157,0.075,0.502,0.117,8.068,1.25,2.71,,,2.928132,0.600773,0,0,1,2035.00137
HD 30652_11,HD 30652,0.393,0.043,1.837,8.758,8.068,1.25,2.71,,,0.394738,0.141603,0,0,1,2035.00137
HD 30652_12,HD 30652,4.088,0.139,1.089,1.006,8.068,1.25,2.71,,,4.235424,0.240035,0,0,1,2035.00137
HD 30652_13,HD 30652,2.431,0.088,0.533,0.083,8.068,1.25,2.71,,,2.367454,0.922375,0,0,1,2035.00137
HD 30652_14,HD 30652,0.311,0.021,2.955,4.456,8.068,1.25,2.71,,,0.305091,0.677481,0,0,1,2035.00137
HD 30652_15,HD 30652,2.792,0.061,1.646,5.621,8.068,1.25,2.71,,,2.958341,0.21466,0,0,1,2035.00137
HD 30652_16,HD 30652,2.682,0.089,0.772,0.336,8.068,1.25,2.71,,,2.445443,0.851079,0,0,1,2035.00137
HD 30652_17,HD 30652,2.809,0.107,1.059,1.356,8.068,1.25,2.71,,,3.012476,0.062634,0,0,1,2035.00137
HD 30652_18,HD 30652,0.796,0.125,1.165,1.345,8.068,1.25,2.71,0.095168,108.54539,0.793291,0.421448,1,1,1,2035.00137
HD 30652_19,HD 30652,2.791,0.027,1.36,1.732,8.068,1.25,2.71,,,2.866175,0.551259,0,0,1,2035.00137
HD 30652_20,HD 30652,3.441,0.077,2.465,3.107,8.068,1.25,2.71,0.422812,284.028953,3.565838,0.484456,1,1,1,2035.00137
HD 30652_21,HD 30652,0.803,0.149,1.415,1.874,8.068,1.25,2.71,0.097301,294.345063,0.903186,0.104545,1,1,1,2035.00137
HD 30652_22,HD 30652,0.423,0.07,3.236,12.877,8.068,1.25,2.71,,,0.451706,0.058798,0,0,1,2035.00137
HD 30652_23,HD 30652,3.951,0.04,1.866,8.978,8.068,1.25,2.71,,,3.947338,0.009202,0,0,1,2035.00137
HD 30652_24,HD 30652,2.031,0.142,3.31,13.422,8.068,1.25,2.71,0.260816,202.373727,2.065533,0.264098,1,1,1,2035.00137
HD 30652_25,HD 30652,1.229,0.1,1.31,2.061,8.068,1.25,2.71,,,1.200434,0.050133,0,0,1,2035.00137
HD 30652_26,HD 30652,3.881,0.114,1.689,10.598,8.068,1.25,2.71,,,3.775764,0.671983,0,0,1,2035.00137
HD 30652_27,HD 30652,0.281,0.093,1.909,5.956,8.068,1.25,2.71,,,0.256287,0.384104,0,0,1,2035.00137
HD 30652_28,HD 30652,3.315,0.054,1.978,13.534,8.068,1.25,2.71,,,3.217224,0.210828,0,0,1,2035.00137
HD 30652_29,HD 30652,1.363,0.089,0.515,0.105,8.068,1.25,2.71,,,1.242227,0.483286,0,0,1,2035.00137
HD 30652_30,HD 30652,0.146,0.04,0.611,0.126,8.068,1.25,2.71,,,0.151042,0.02835,0,0,1,2035.00137
HD 30652_31,HD 30652,4.728,0.078,0.725,0.192,8.068,1.25,2.71,,,5.035102,0.282344,0,0,1,2035.00137
HD 30652_32,HD 30652,3.068,0.085,0.782,0.529,8.068,1.25,2.71,,,3.324508,0.109777,0,0,1,2035.00137
HD 30652_33,HD 30652,0.438,0.034,2.74,4.703,8.068,1.25,2.71,,,0.451094,0.2239,0,0,1,2035.00137
HD 30652_34,HD 30652,4.269,0.031,1.85,3.548,8.068,1.25,2.71,,,4.399239,0.076234,0,0,1,2035.00137
HD 30652_35,HD 30652,4.376,0.047,0.627,0.199,8.068,1.25,2.71,,,4.314001,0.64294,0,0,1,2035.00137
HD 30652_36,HD 30652,3.237,0.045,1.035,1.006,8.068,1.25,2.71,,,3.174941,0.14534,0,0,1,2035.00137
HD 30652_37,HD 30652,0.266,0.099,0.744,0.369,8.068,1.25,2.71,,,0.239778,0.039104,0,0,1,2035.00137
HD 30652_38,HD 30652,0.376,0.085,2.321,4.456,8.068,1.25,2.71,,,0.406747,0.172526,0,0,1,2035.00137
HD 30652_39,HD 30652,2.892,0.044,2.818,6.662,8.068,1.25,2.71,0.24313,151.208449,2.984453,0.788015,1,1,1,2035.00137
HD 30652_40,HD 30652,4.18,0.054,0.65,0.213,8.068,1.25,2.71,,,4.132684,0.847761,0,0,1,2035.00137
HD 30652_41,HD 30652,0.438,0.071,1.016,3.031,8.068,1.25,2.71,,,0.429982,0.167476,0,0,1,2035.00137
HD 30652_42,HD 30652,1.231,0.017,3.05,12.252,8.068,1.25,2.71,0.128734,151.253404,1.240421,0.088214,1,1,1,2035.00137
HD 30652_43,HD 30652,0.315,0.106,1.618,8.437,8.068,1.25,2.71,,,0.284027,0.443333,0,0,1,2035.00137
HD 30652_44,HD 30652,1.305,0.043,2.523,12.984,8.068,1.25,2.71,0.154774,198.803809,1.285697,0.21211,1,1,1,2035.00137
HD 30652_45,HD 30652,2.159,0.039,0.913,0.87,8.068,1.25,2.71,,,2.096434,0.160494,0,0,1,2035.00137
HD 22484_0,HD 22484,0.93,0.031,2.692,3.823,13.92,1.14,3.068,,,0.904327,0.095639,0,0,1,2035.00274
HD 22484_1,HD 22484,2.315,0.104,0.754,0.506,13.92,1.14,3.068,,,2.441688,0.921681,0,0,1,2035.00274
HD 22484_2,HD 22484,1.683,0.107,2.75,4.24,13.92,1.14,3.068,0.108122,138.162677,1.563156,0.40977,1,1,1,2035.00274
HD 22484_3,HD 22484,3.848,0.128,0.603,0.294,13.92,1.14,3.068,,,4.340127,0.020793,0,0,1,2035.00274
HD 22484_4,HD 22484,2.831,0.082,3.275,9.129,13.92,1.14,3.068,0.176553,297.965613,2.677041,0.558311,1,1,1,2035.00274
HD 22484_5,HD 22484,0.189,0.048,2.339,10.775,13.92,1.14,3.068,,,0.189442,0.535739,0,0,1,2035.00274
HD 22484_6,HD 22484,0.806,0.146,0.599,0.139,13.92,1.14,3.068,0.060332,223.523749,0.904365,0.472165,1,1,1,2035.00274
HD 22484_7,HD 22484,2.522,0.073,0.57,0.137,13.92,1.14,3.068,,,2.705493,0.868606,0,0,1,2035.00274
HD 22484_8,HD 22484,0.317,0.065,2.193,3.225,13.92,1.14,3.068,,,0.323571,0.225968,0,0,1,2035.00274
HD 22484_9,HD 22484,1.378,0.041,0.563,0.081,13.92,1.14,3.068,,,1.367387,0.503408,0,0,1,2035.00274
HD 22484_10,HD 22484,0.689,0.079,0.77,0.75,13.92,1.14,3.068,,,0.667555,0.713432,0,0,1,2035.00274
HD 22484_11,HD 22484,0.168,0.146,2.183,11.803,13.92,1.14,3.068,,,0.189661,0.399003,0,0,1,2035.00274
HD 22484_12,HD 22484,4.821,0.071,2.754,16.309,13.92,1.14,3.068,,,4.518216,0.552579,0,0,1,2035.00274
HD 22484_13,HD 22484,4.19,0.135,2.032,6.312,13.92,1.14,3.068,,,4.61265,0.216357,0,0,1,2035.00274
HD 22484_14,HD 22484,2.76,0.115,2.647,11.418,13.92,1.14,3.068,0.084348,288.17882,2.529759,0.898275,1,1,1,2035.00274
HD 22484_15,HD 22484,0.395,0.158,1.334,1.431,13.92,1.14,3.068,,,0.376914,0.242952,0,0,1,2035.00274
HD 22484_16,HD 22484,4.736,0.112,2.084,2.676,13.92,1.14,3.068,0.082889,38.014404,5.266202,0.978261,1,1,1,2035.00274
HD 22484_17,HD 22484,2.026,0.055,0.89,0.602,13.92,1.14,3.068,,,1.930241,0.947596,0,0,1,2035.00274
HD 22484_18,HD 22484,4.524,0.117,2.109,6.579,13.92,1.14,3.068,,,4.684601,0.013323,0,0,1,2035.00274
HD 22484_19,HD 22484,0.142,0.041,1.694,3.518,13.92,1.14,3.068,,,0.138593,0.243236,0,0,1,2035.00274
HD 22484_20,HD 22484,0.34,0.022,1.373,1.39,13.92,1.14,3.068,,,0.346869,0.014734,0,0,1,2035.00274
HD 22484_21,HD 22484,2.302,0.076,3.339,13.478,13.92,1.14,3.068,0.145206,255.239041,2.169889,0.54133,1,1,1,2035.00274
HD 22484_22,HD 22484,3.996,0.098,1.122,2.053,13.92,1.14,3.068,,,3.623701,0.208642,0,0,1,2035.00274
HD 22484_23,HD 22484,0.344,0.137,1.499,2.825,13.92,1.14,3.068,,,0.390209,0.032093,0,0,1,2035.00274
HD 22484_24,HD 22484,0.687,0.02,1.211,1.102,13.92,1.14,3.068,,,0.675735,0.445926,0,0,1,2035.00274
HD 22484_25,HD 22484,1.792,0.063,0.767,0.34,13.92,1.14,3.068,,,1.786792,0.116824,0,0,1,2035.00274
HD 22484_26,HD 22484,4.845,0.087,0.869,0.326,13.92,1.14,3.068,,,5.099575,0.054808,0,0,1,2035.00274
HD 22484_27,HD 22484,3.133,0.049,3.237,7.798,13.92,1.14,3.068,,,3.262895,0.118029,0,0,1,2035.00274
HD 128167_0,HD 128167,1.357,0.065,0.875,0.99,15.756,1.39,3.182,0.06629,133.741609,1.300435,0.68438,1,1,1,2035.00411
HD 128167_1,HD 128167,1.426,0.048,0.633,0.33,15.756,1.39,3.182,,,1.385839,0.542755,0,0,1,2035.00411
HD 128167_2,HD 128167,3.815,0.06,1.399,1.379,15.756,1.39,3.182,,,3.975428,0.4936,0,0,1,2035.00411
HD 128167_3,HD 128167,3.121,0.051,0.533,0.185,15.756,1.39,3.182,,,2.970332,0.022625,0,0,1,2035.00411
HD 128167_4,HD 128167,0.125,0.034,2.294,6.391,15.756,1.39,3.182,,,0.122339,0.309321,0,0,1,2035.00411
HD 128167_5,HD 128167,1.25,0.018,1.025,1.049,15.756,1.39,3.182,0.072692,53.733724,1.22752,0.248333,1,1,1,2035.00411
HD 128167_6,HD 128167,2.088,0.014,1.013,0.659,15.756,1.39,3.182,0.11438,170.148723,2.117218,0.613956,1,1,1,2035.00411
HD 128167_7,HD 128167,1.273,0.096,0.864,0.713,15.756,1.39,3.182,,,1.356509,0.795291,0,0,1,2035.00411
HD 128167_8,HD 128167,0.282,0.078,3.167,17.355,15.756,1.39,3.182,,,0.291266,0.13846,0,0,1,2035.00411
HD 128167_9,HD 128167,1.014,0.056,0.662,0.23,15.756,1.39,3.182,,,0.957494,0.082198,0,0,1,2035.00411
HD 128167_10,HD 128167,1.07,0.068,0.636,0.094,15.756,1.39,3.182,,,1.078121,0.121518,0,0,1,2035.00411
HD 128167_11,HD 128167,0.393,0.178,0.651,0.114,15.756,1.39,3.182,,,0.40648,0.131918,0,0,1,2035.00411
HD 128167_12,HD 128167,3.014,0.064,1.622,2.611,15.756,1.39,3.182,,,3.067196,0.205024,0,0,1,2035.00411
HD 128167_13,HD 128167,0.748,0.042,3.336,6.886,15.756,1.39,3.182,,,0.720658,0.118106,0,0,1,2035.00411
HD 128167_14,HD 128167,1.919,0.094,0.735,0.282,15.756,1.39,3.182,,,2.003915,0.59753,0,0,1,2035.00411
HD 128167_15,HD 128167,1.532,0.031,2.742,5.528,15.756,1.39,3.182,,,1.484528,0.957592,0,0,1,2035.00411
HD 128167_16,HD 128167,4.0,0.081,0.792,0.617,15.756,1.39,3.182,,,4.164403,0.039792,0,0,1,2035.00411
HD 128167_17,HD 128167,0.267,0.063,1.588,7.67,15.756,1.39,3.182,,,0.271455,0.974643,0,0,1,2035.00411
HD 128167_18,HD 128167,0.254,0.076,0.529,0.095,15.756,1.39,3.182,,,0.250846,0.949537,0,0,1,2035.00411
HD 128167_19,HD 128167,0.682,0.049,1.179,3.212,15.756,1.39,3.182,,,0.677658,0.240179,0,0,1,2035.00411
HD 128167_20,HD 128167,1.149,0.06,1.609,3.031,15.756,1.39,3.182,0.072694,0.030775,1.162467,0.361342,1,1,1,2035.00411
HD 128167_21,HD 128167,0.677,0.101,1.274,2.578,15.756,1.39,3.182,,,0.610547,0.526669,0,0,1,2035.00411
HD 128167_22,HD 128167,3.065,0.025,0.738,0.255,15.756,1.39,3.182,,,3.08826,0.668656,0,0,1,2035.00411
HD 128167_23,HD 128167,0.529,0.108,2.314,8.758,15.756,1.39,3.182,,,0.471884,0.183362,0,0,1,2035.00411
HD 128167_24,HD 128167,0.208,0.115,3.173,32.184,15.756,1.39,3.182,,,0.217915,0.354721,0,0,1,2035.00411
HD 128167_25,HD 128167,1.078,0.059,1.1,1.614,15.756,1.39,3.182,0.063537,0.991382,1.09271,0.182324,1,1,1,2035.00411
HD 128167_26,HD 128167,3.142,0.096,1.55,3.968,15.756,1.39,3.182,,,3.049007,0.364486,0,0,1,2035.00411
HD 128167_27,HD 128167,3.767,0.085,2.133,6.525,15.756,1.39,3.182,,,3.61824,0.298546,0,0,1,2035.00411
HD 128167_28,HD 128167,2.845,0.073,0.742,0.213,15.756,1.39,3.182,,,2.964901,0.31838,0,0,1,2035.00411
HD 128167_29,HD 128167,1.748,0.101,2.503,13.038,15.756,1.39,3.182,0.103215,353.253434,1.758238,0.206512,1,1,1,2035.00411
HD 128167_30,HD 128167,2.78,0.056,0.794,0.646,15.756,1.39,3.182,,,2.629315,0.757878,0,0,1,2035.00411
HD 128167_31,HD 128167,2.486,0.116,2.068,5.738,15.756,1.39,3.182,0.174727,325.041148,2.760588,0.267518,1,1,1,2035.00411
HD 128167_32,HD 128167,0.501,0.134,0.595,0.179,15.756,1.39,3.182,,,0.560167,0.471282,0,0,1,2035.00411
HD 128167_33,HD 128167,1.71,0.084,0.806,0.523,15.756,1.39,3.182,,,1.769498,0.149142,0,0,1,2035.00411
HD 128167_34,HD 128167,3.121,0.04,1.268,1.312,15.756,1.39,3.182,,,3.033993,0.205039,0,0,1,2035.00411
HD 128167_35,HD 128167,0.734,0.019,1.247,2.688,15.756,1.39,3.182,,,0.727536,0.083104,0,0,1,2035.00411
HD 128167_36,HD 128167,2.309,0.061,2.427,4.626,15.756,1.39,3.182,,,2.40708,0.013202,0,0,1,2035.00411
HD 128167_37,HD 128167,1.368,0.022,3.369,14.283,15.756,1.39,3.182,0.067333,106.854261,1.350543,0.712691,1,1,1,2035.00411
HD 128167_38,HD 128167,1.47,0.058,0.59,0.204,15.756,1.39,3.182,,,1.444679,0.74851,0,0,1,2035.00411
HD 128167_39,HD 128167,0.216,0.135,0.782,0.896,15.756,1.39,3.182,,,0.198143,0.552579,0,0,1,2035.00411
HD 128167_40,HD 128167,2.387,0.103,0.912,0.794,15.756,1.39,3.182,,,2.178566,0.289575,0,0,1,2035.00411
HD 142373_0,HD 142373,4.67,0.1,1.323,1.243,15.898,1.08,3.136,,,4.245832,0.078734,0,0,1,2035.005479
HD 142373_1,HD 142373,2.547,0.04,0.643,0.153,15.898,1.08,3.136,,,2.448861,0.968105,0,0,1,2035.005479
HD 142373_2,HD 142373,0.741,0.034,0.999,2.872,15.898,1.08,3.136,,,0.764192,0.386592,0,0,1,2035.005479
HD 142373_3,HD 142373,1.829,0.084,1.64,4.512,15.898,1.08,3.136,0.113501,282.083422,1.857527,0.225941,1,1,1,2035.005479
HD 142373_4,HD 142373,0.184,0.052,1.173,1.461,15.898,1.08,3.136,,,0.188604,0.717984,0,0,1,2035.005479
HD 142373_5,HD 142373,0.432,0.017,0.95,1.193,15.898,1.08,3.136,,,0.436393,0.982325,0,0,1,2035.005479
HD 142373_6,HD 142373,1.005,0.052,2.619,13.817,15.898,1.08,3.136,,,1.042598,0.80142,0,0,1,2035.005479
HD 142373_7,HD 142373,0.39,0.049,2.055,3.887,15.898,1.08,3.136,,,0.401255,0.318508,0,0,1,2035.005479
HD 142373_8,HD 142373,4.329,0.086,1.25,2.096,15.898,1.08,3.136,,,3.992425,0.22674,0,0,1,2035.005479
HD 142373_9,HD 142373,4.719,0.141,3.031,15.517,15.898,1.08,3.136,0.178665,167.612589,4.647657,0.825717,1,1,1,2035.005479
HD 142373_10,HD 142373,0.842,0.063,1.031,1.648,15.898,1.08,3.136,,,0.816728,0.013349,0,0,1,2035.005479
HD 142373_11,HD 142373,2.459,0.066,2.122,3.199,15.898,1.08,3.136,,,2.350329,0.964341,0,0,1,2035.005479
HD 142373_12,HD 142373,0.969,0.055,0.654,0.409,15.898,1.08,3.136,,,0.920889,0.830657,0,0,1,2035.005479
HD 142373_13,HD 142373,0.273,0.042,0.802,0.434,15.898,1.08,3.136,,,0.26225,0.027987,0,0,1,2035.005479
HD 142373_14,HD 142373,0.734,0.134,0.881,0.54,15.898,1.08,3.136,,,0.814166,0.588876,0,0,1,2035.005479
HD 142373_15,HD 142373,0.458,0.047,0.589,0.119,15.898,1.08,3.136,,,0.43705,0.294016,0,0,1,2035.005479
HD 142373_16,HD 142373,0.707,0.14,1.193,1.023,15.898,1.08,3.136,,,0.781043,0.311653,0,0,1,2035.005479
HD 142373_17,HD 142373,0.418,0.055,0.682,0.122,15.898,1.08,3.136,,,0.440056,0.126151,0,0,1,2035.005479
HD 142373_18,HD 142373,0.23,0.214,1.545,4.723,15.898,1.08,3.136,,,0.240284,0.456849,0,0,1,2035.005479
HD 142373_19,HD 142373,0.423,0.051,0.679,0.058,15.898,1.08,3.136,,,0.435057,0.570532,0,0,1,2035.005479
HD 142373_20,HD 142373,3.913,0.037,0.607,0.129,15.898,1.08,3.136,,,4.05654,0.937303,0,0,1,2035.005479
HD 142373_21,HD 142373,0.192,0.171,3.165,10.598,15.898,1.08,3.136,,,0.170807,0.169721,0,0,1,2035.005479
HD 142373_22,HD 142373,0.697,0.099,1.621,2.296,15.898,1.08,3.136,,,0.701123,0.103751,0,0,1,2035.005479
HD 142373_23,HD 142373,1.467,0.103,2.938,30.244,15.898,1.08,3.136,0.060061,86.040388,1.42379,0.75068,1,1,1,2035.005479
HD 142373_24,HD 142373,0.788,0.159,1.166,1.173,15.898,1.08,3.136,,,0.662803,0.238466,0,0,1,2035.005479
HD 142373_25,HD 142373,1.417,0.085,0.523,0.098,15.898,1.08,3.136,,,1.50633,0.302527,0,0,1,2035.005479
HD 142373_26,HD 142373,0.14,0.048,1.372,1.754,15.898,1.08,3.136,,,0.136179,0.352089,0,0,1,2035.005479
HD 142373_27,HD 142373,2.091,0.068,1.33,1.614,15.898,1.08,3.136,0.0964,189.361969,2.206887,0.749959,1,1,1,2035.005479
HD 142373_28,HD 142373,1.635,0.035,0.507,0.031,15.898,1.08,3.136,,,1.664202,0.783455,0,0,1,2035.005479
HD 142373_29,HD 142373,2.283,0.083,2.485,10.909,15.898,1.08,3.136,0.145613,183.595872,2.30873,0.329411,1,1,1,2035.005479
HD 142373_30,HD 142373,1.654,0.065,1.502,8.722,15.898,1.08,3.136,,,1.659333,0.956443,0,0,1,2035.005479
HD 142373_31,HD 142373,1.082,0.031,1.937,4.311,15.898,1.08,3.136,0.062641,36.260542,1.056514,0.46702,1,1,1,2035.005479
HD 142373_32,HD 142373,0.775,0.066,1.175,1.776,15.898,1.08,3.136,,,0.808899,0.462663,0,0,1,2035.005479
HD 142373_33,HD 142373,0.443,0.045,1.497,4.102,15.898,1.08,3.136,,,0.452946,0.370813,0,0,1,2035.005479
HD 142373_34,HD 142373,1.338,0.106,0.763,0.479,15.898,1.08,3.136,,,1.38204,0.343138,0,0,1,2035.005479
HD 142373_35,HD 142373,0.122,0.067,3.2,9.243,15.898,1.08,3.136,,,0.124097,0.867431,0,0,1,2035.005479
HD 142373_36,HD 142373,0.708,0.092,0.987,0.794,15.898,1.08,3.136,,,0.709897,0.7379,0,0,1,2035.005479
HD 142373_37,HD 142373,2.264,0.083,0.648,0.172,15.898,1.08,3.136,,,2.229036,0.245801,0,0,1,2035.005479
HD 142373_38,HD 142373,0.225,0.043,0.542,0.154,15.898,1.08,3.136,,,0.234524,0.441789,0,0,1,2035.005479
HD 142373_39,HD 142373,0.163,0.126,1.551,4.984,15.898,1.08,3.136,,,0.180695,0.681153,0,0,1,2035.005479
HD 142373_40,HD 142373,2.112,0.035,3.271,6.234,15.898,1.08,3.136,0.136507,240.261414,2.15174,0.268604,1,1,1,2035.005479
HD 142373_41,HD 142373,0.934,0.051,2.682,7.06,15.898,1.08,3.136,,,0.914556,0.002082,0,0,1,2035.005479
HD 142373_42,HD 142373,3.093,0.014,1.773,8.831,15.898,1.08,3.136,,,3.096769,0.02719,0,0,1,2035.005479
HD 134083_0,HD 134083,2.986,0.064,1.945,7.451,19.536,1.33,3.255,,,2.803343,0.040322,0,0,1,2035.006849
HD 134083_1,HD 134083,1.611,0.059,1.02,0.915,19.536,1.33,3.255,0.065499,120.664264,1.517572,0.652662,1,1,1,2035.006849
HD 134083_2,HD 134083,1.065,0.033,0.508,0.077,19.536,1.33,3.255,,,1.03033,0.613548,0,0,1,2035.006849
HD 134083_3,HD 134083,4.177,0.145,1.255,1.82,19.536,1.33,3.255,,,3.594299,0.090928,0,0,1,2035.006849
HD 134083_4,HD 134083,3.618,0.086,0.613,0.118,19.536,1.33,3.255,,,3.860419,0.341389,0,0,1,2035.006849
HD 134083_5,HD 134083,0.168,0.048,0.703,0.202,19.536,1.33,3.255,,,0.16293,0.698038,0,0,1,2035.006849
HD 134083_6,HD 134083,2.046,0.015,1.751,2.403,19.536,1.33,3.255,,,2.04537,0.019913,0,0,1,2035.006849
HD 134083_7,HD 134083,3.088,0.115,0.763,0.401,19.536,1.33,3.255,,,2.797923,0.002507,0,0,1,2035.006849
HD 134083_8,HD 134083,1.684,0.085,2.659,12.718,19.536,1.33,3.255,0.090817,245.428412,1.797195,0.29674,1,1,1,2035.006849
HD 134083_9,HD 134083,4.93,0.063,1.618,3.744,19.536,1.33,3.255,,,4.750222,0.206946,0,0,1,2035.006849
HD 134083_10,HD 134083,2.481,0.048,2.333,3.172,19.536,1.33,3.255,0.103833,127.103103,2.600039,0.670784,1,1,1,2035.006849
HD 134083_11,HD 134083,0.234,0.098,1.487,7.42,19.536,1.33,3.255,,,0.244861,0.399116,0,0,1,2035.006849
HD 134083_12,HD 134083,0.41,0.106,2.527,16.241,19.536,1.33,3.255,,,0.373583,0.050486,0,0,1,2035.006849
