PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 142860_0,HD 142860,0.405,0.081,2.385,6.459,11.2537,1.25,3.038785,,,0.432647,0.036004,0,0,1,2035.0
HD 142860_2,HD 142860,3.184,0.073,1.146,0.989,11.2537,1.25,3.038785,,,3.137289,0.489767,0,0,1,2035.0
HD 142860_3,HD 142860,0.465,0.068,1.963,1.786,11.2537,1.25,3.038785,,,0.448867,0.456699,0,0,1,2035.0
HD 142860_5,HD 142860,0.92,0.074,2.443,8.017,11.2537,1.25,3.038785,,,0.852826,0.077624,0,0,1,2035.0
HD 142860_6,HD 142860,0.627,0.092,3.102,5.436,11.2537,1.25,3.038785,,,0.683736,0.013926,0,0,1,2035.0
HD 30652_0,HD 30652,0.357,0.032,0.524,0.119,8.0684,1.25,2.710192,,,0.365285,0.141985,0,0,1,2035.00137
HD 30652_1,HD 30652,3.379,0.099,2.314,9.159,8.0684,1.25,2.710192,,,3.373288,0.06295,0,0,1,2035.00137
HD 30652_2,HD 30652,1.418,0.081,1.563,7.047,8.0684,1.25,2.710192,,,1.44625,0.03975,0,0,1,2035.00137
HD 30652_3,HD 30652,3.27,0.133,2.129,5.731,8.0684,1.25,2.710192,,,3.337398,0.228915,0,0,1,2035.00137
HD 30652_4,HD 30652,2.754,0.119,2.49,10.16,8.0684,1.25,2.710192,,,3.074861,0.071324,0,0,1,2035.00137
HD 22484_0,HD 22484,0.838,0.146,1.142,1.607,13.9204,1.14,3.067609,,,0.825329,0.367895,0,0,1,2035.00274
HD 22484_1,HD 22484,1.12,0.109,1.996,7.679,13.9204,1.14,3.067609,,,1.184084,0.073901,0,0,1,2035.00274
HD 22484_2,HD 22484,0.469,0.117,1.765,3.166,13.9204,1.14,3.067609,,,0.502049,0.057014,0,0,1,2035.00274
HD 22484_5,HD 22484,4.456,0.081,0.516,0.034,13.9204,1.14,3.067609,,,4.138022,0.021229,0,0,1,2035.00274
HD 22484_7,HD 22484,3.201,0.074,0.943,1.501,13.9204,1.14,3.067609,,,2.978093,0.341329,0,0,1,2035.00274
HD 128167_0,HD 128167,1.283,0.14,1.15,1.29,15.756,1.39,3.181999,,,1.107643,0.520288,0,0,1,2035.00411
HD 128167_2,HD 128167,3.433,0.063,1.328,2.483,15.756,1.39,3.181999,,,3.265018,0.121772,0,0,1,2035.00411
HD 128167_3,HD 128167,4.878,0.117,2.132,5.678,15.756,1.39,3.181999,,,5.403185,0.339698,0,0,1,2035.00411
HD 128167_4,HD 128167,1.323,0.044,1.923,2.477,15.756,1.39,3.181999,,,1.374304,0.059026,0,0,1,2035.00411
HD 142373_0,HD 142373,1.268,0.168,0.757,0.148,15.8975,1.08,3.136173,,,1.481024,0.754846,0,0,1,2035.005479
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.8975,1.08,3.136173,,,1.625407,0.160387,0,0,1,2035.005479
HD 142373_2,HD 142373,0.834,0.129,2.923,6.259,15.8975,1.08,3.136173,,,0.730608,0.424536,0,0,1,2035.005479
HD 142373_4,HD 142373,1.161,0.006,1.265,2.536,15.8975,1.08,3.136173,,,1.154317,0.348496,0,0,1,2035.005479
HD 142373_6,HD 142373,4.705,0.105,0.947,0.923,15.8975,1.08,3.136173,,,4.973728,0.358905,0,0,1,2035.005479
HD 142373_7,HD 142373,1.878,0.051,2.611,6.816,15.8975,1.08,3.136173,0.094621,352.503512,1.827809,0.663135,1,1,1,2035.005479
HD 142373_8,HD 142373,3.092,0.053,1.805,7.326,15.8975,1.08,3.136173,0.181935,107.698759,3.09827,0.536115,1,1,1,2035.005479
HD 134083_0,HD 134083,0.116,0.07,1.9,7.058,19.536,1.33,3.254618,,,0.118939,0.82838,0,0,1,2035.006849
HD 134083_1,HD 134083,0.36,0.097,1.358,2.746,19.536,1.33,3.254618,,,0.354097,0.624825,0,0,1,2035.006849
HD 134083_3,HD 134083,0.749,0.13,0.881,0.684,19.536,1.33,3.254618,,,0.844037,0.065868,0,0,1,2035.006849
HD 134083_4,HD 134083,0.959,0.114,0.591,0.338,19.536,1.33,3.254618,,,1.060201,0.077114,0,0,1,2035.006849
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.0888,0.87,2.941034,,,2.453909,0.743868,0,0,1,2035.008219
HD 23249_1,HD 23249,2.348,0.031,1.487,3.029,9.0888,0.87,2.941034,,,2.318859,0.037071,0,0,1,2035.008219
HD 38393_0,HD 38393,0.205,0.072,1.088,1.383,8.905,1.23,2.344229,,,0.202099,0.205621,0,0,1,2035.009589
HD 38393_1,HD 38393,3.39,0.099,0.656,0.073,8.905,1.23,2.344229,,,3.693629,0.172093,0,0,1,2035.009589
HD 38393_3,HD 38393,0.355,0.086,1.549,2.098,8.905,1.23,2.344229,,,0.330317,0.803686,0,0,1,2035.009589
HD 38393_4,HD 38393,4.373,0.052,1.208,1.876,8.905,1.23,2.344229,,,4.169242,0.052424,0,0,1,2035.009589
HD 693_0,HD 693,1.045,0.058,1.136,2.579,18.8861,1.18,2.997091,,,1.002562,0.081714,0,0,1,2035.010959
HD 693_1,HD 693,0.139,0.106,2.768,7.407,18.8861,1.18,2.997091,,,0.147385,0.001154,0,0,1,2035.010959
HD 693_3,HD 693,1.448,0.069,1.975,3.042,18.8861,1.18,2.997091,,,1.547879,0.720049,0,0,1,2035.010959
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.8861,1.18,2.997091,0.076275,128.3464,1.576986,0.23326,1,1,1,2035.010959
HD 693_5,HD 693,2.909,0.1,1.423,2.794,18.8861,1.18,2.997091,,,3.019863,0.014628,0,0,1,2035.010959
HD 693_6,HD 693,2.914,0.024,0.574,0.316,18.8861,1.18,2.997091,,,2.983042,0.840057,0,0,1,2035.010959
HD 693_7,HD 693,3.93,0.01,2.298,5.004,18.8861,1.18,2.997091,,,3.969299,0.030668,0,0,1,2035.010959
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.2764,1.21,2.616978,,,1.792125,0.177146,0,0,1,2035.012329
HD 17206_1,HD 17206,0.879,0.039,2.253,5.781,14.2764,1.21,2.616978,,,0.913142,0.018454,0,0,1,2035.012329
HD 17206_2,HD 17206,0.485,0.035,0.762,0.888,14.2764,1.21,2.616978,,,0.472626,0.020839,0,0,1,2035.012329
HD 210302_0,HD 210302,0.937,0.087,1.293,2.482,18.4579,1.25,2.918099,,,0.962589,0.493572,0,0,1,2035.013699
HD 210302_1,HD 210302,0.316,0.034,0.672,0.291,18.4579,1.25,2.918099,,,0.310093,0.062241,0,0,1,2035.013699
HD 210302_2,HD 210302,0.162,0.125,0.82,0.565,18.4579,1.25,2.918099,,,0.159697,0.106791,0,0,1,2035.013699
HD 210302_3,HD 210302,0.925,0.123,2.909,15.97,18.4579,1.25,2.918099,,,0.991222,0.015225,0,0,1,2035.013699
HD 210302_4,HD 210302,1.629,0.122,1.727,5.061,18.4579,1.25,2.918099,,,1.443954,0.902923,0,0,1,2035.013699
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.3319,1.11,1.520898,,,1.453625,0.003914,0,0,1,2035.015068
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.3319,1.11,1.520898,0.780195,100.436511,1.271789,0.661515,1,1,1,2035.015068
HD 43386_0,HD 43386,2.541,0.037,0.504,0.177,19.5879,1.33,2.956651,,,2.632362,0.000431,0,0,1,2035.016438
HD 43386_1,HD 43386,1.141,0.101,1.584,2.873,19.5879,1.33,2.956651,,,1.230615,0.16664,0,0,1,2035.016438
HD 43386_3,HD 43386,0.289,0.045,1.072,0.429,19.5879,1.33,2.956651,,,0.296689,0.541304,0,0,1,2035.016438
HD 19373_0,HD 19373,0.74,0.034,3.212,9.93,10.5774,1.08,2.230489,,,0.734069,0.513915,0,0,1,2035.017808
HD 19373_2,HD 19373,0.724,0.048,1.483,3.085,10.5774,1.08,2.230489,,,0.691267,0.195784,0,0,1,2035.017808
HD 19373_3,HD 19373,0.676,0.061,1.037,1.075,10.5774,1.08,2.230489,,,0.639038,0.842415,0,0,1,2035.017808
HD 19373_6,HD 19373,0.114,0.04,2.433,8.086,10.5774,1.08,2.230489,,,0.111213,0.017746,0,0,1,2035.017808
HD 19373_7,HD 19373,2.87,0.048,1.622,2.945,10.5774,1.08,2.230489,,,2.98063,0.225016,0,0,1,2035.017808
HD 16895 A_0,HD 16895 A,3.595,0.047,2.816,7.544,11.1501,1.21,2.246467,,,3.745591,0.11254,0,0,1,2035.019178
HD 16895 A_4,HD 16895 A,4.424,0.091,1.274,1.913,11.1501,1.21,2.246467,,,4.19751,0.065115,0,0,1,2035.019178
HD 16895 A_5,HD 16895 A,1.554,0.05,3.144,9.969,11.1501,1.21,2.246467,0.099723,99.569731,1.523988,0.054337,1,1,1,2035.019178
HD 16895 A_6,HD 16895 A,0.108,0.029,0.508,0.042,11.1501,1.21,2.246467,,,0.108591,0.180597,0,0,1,2035.019178
HD 84737_0,HD 84737,0.596,0.087,1.352,1.551,18.8226,1.08,2.795117,,,0.635327,0.019866,0,0,1,2035.020548
HD 84737_1,HD 84737,3.025,0.071,1.189,1.926,18.8226,1.08,2.795117,,,2.828699,0.793562,0,0,1,2035.020548
HD 84737_2,HD 84737,1.078,0.014,1.079,0.698,18.8226,1.08,2.795117,,,1.073196,0.016904,0,0,1,2035.020548
HD 84737_3,HD 84737,3.774,0.025,0.833,0.848,18.8226,1.08,2.795117,,,3.68617,0.298688,0,0,1,2035.020548
HD 84737_4,HD 84737,0.254,0.074,3.133,13.741,18.8226,1.08,2.795117,,,0.246559,0.277358,0,0,1,2035.020548
HD 84737_5,HD 84737,2.993,0.205,0.508,0.086,18.8226,1.08,2.795117,,,3.108158,0.37234,0,0,1,2035.020548
HD 187691 A_0,HD 187691 A,3.127,0.076,1.475,4.454,19.4881,1.25,2.834654,,,3.046951,0.177044,0,0,1,2035.021918
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.4881,1.25,2.834654,,,2.617092,0.031766,0,0,1,2035.021918
HD 187691 A_2,HD 187691 A,3.249,0.037,0.764,1.364,19.4881,1.25,2.834654,,,3.366988,0.873589,0,0,1,2035.021918
HD 187691 A_3,HD 187691 A,2.018,0.038,2.654,10.557,19.4881,1.25,2.834654,,,2.08837,0.012983,0,0,1,2035.021918
HD 43042_0,HD 43042,4.095,0.078,0.558,0.185,21.7763,1.29,2.935621,,,3.824635,0.191588,0,0,1,2035.023288
HD 43042_1,HD 43042,0.434,0.11,0.533,0.05,21.7763,1.29,2.935621,,,0.426025,0.241608,0,0,1,2035.023288
HD 43042_3,HD 43042,0.724,0.14,0.733,0.758,21.7763,1.29,2.935621,,,0.824759,0.91407,0,0,1,2035.023288
HD 212330 A_0,HD 212330 A,1.747,0.031,3.281,9.208,20.3398,1.02,2.726465,0.084514,147.600353,1.700129,0.224133,1,1,1,2035.024658
HD 141004_0,HD 141004,2.629,0.092,2.901,8.518,11.9159,1.09,2.003549,0.18682,153.947893,2.511255,0.585626,1,1,1,2035.026027
HD 141004_1,HD 141004,0.651,0.071,0.654,0.168,11.9159,1.09,2.003549,,,0.641736,0.13245,0,0,1,2035.026027
HD 141004_2,HD 141004,4.426,0.098,1.019,2.941,11.9159,1.09,2.003549,,,4.205225,0.505244,0,0,1,2035.026027
HD 141004_3,HD 141004,4.115,0.06,0.578,0.125,11.9159,1.09,2.003549,,,4.265546,0.066109,0,0,1,2035.026027
HD 141004_4,HD 141004,3.163,0.091,1.732,4.206,11.9159,1.09,2.003549,,,3.37971,0.522747,0,0,1,2035.026027
HD 4614 A_0,HD 4614 A,4.718,0.051,1.358,3.151,5.0098,1.14,1.251988,,,4.955722,0.125141,0,0,1,2035.028767
HD 4614 A_1,HD 4614 A,0.651,0.133,0.728,0.235,5.0098,1.14,1.251988,,,0.727873,0.87174,0,0,1,2035.028767
HD 4614 A_2,HD 4614 A,2.584,0.017,1.361,2.842,5.0098,1.14,1.251988,0.416936,323.47538,2.626741,0.684508,1,1,1,2035.028767
HD 58855_0,HD 58855,3.917,0.055,2.746,11.124,20.4021,1.16,2.444556,0.12132,236.257291,4.069695,0.825533,1,1,1,2035.030137
HD 58855_3,HD 58855,0.12,0.023,0.846,0.314,20.4021,1.16,2.444556,,,0.122318,0.124483,0,0,1,2035.030137
HD 58855_4,HD 58855,1.787,0.062,0.53,0.101,20.4021,1.16,2.444556,,,1.816977,0.983463,0,0,1,2035.030137
HD 58855_5,HD 58855,2.753,0.078,0.74,0.361,20.4021,1.16,2.444556,,,2.922661,0.866597,0,0,1,2035.030137
HD 58855_6,HD 58855,3.408,0.008,0.67,0.197,20.4021,1.16,2.444556,,,3.414152,0.042357,0,0,1,2035.030137
HD 58855_7,HD 58855,0.511,0.017,1.169,2.72,20.4021,1.16,2.444556,,,0.506963,0.052968,0,0,1,2035.030137
HD 58855_8,HD 58855,3.679,0.02,1.665,3.725,20.4021,1.16,2.444556,,,3.70507,0.049323,0,0,1,2035.030137
HD 7570_0,HD 7570,3.031,0.054,1.134,3.652,15.2609,1.14,2.003549,,,2.989686,0.959575,0,0,1,2035.031507
HD 7570_1,HD 7570,0.15,0.071,0.941,0.218,15.2609,1.14,2.003549,,,0.140932,0.804433,0,0,1,2035.031507
HD 7570_2,HD 7570,1.977,0.063,1.73,3.716,15.2609,1.14,2.003549,,,1.986466,0.079301,0,0,1,2035.031507
HD 7570_3,HD 7570,3.034,0.079,1.364,1.913,15.2609,1.14,2.003549,,,3.266907,0.652506,0,0,1,2035.031507
HD 7570_4,HD 7570,0.569,0.099,0.726,0.483,15.2609,1.14,2.003549,,,0.621363,0.312253,0,0,1,2035.031507
